obsnme,obsval,weight,obgnme
gage_1_20151231,829.25,0.0,gage
gage_1_20160131,1040.7,0.005,gage
gage_1_20160229,1182.9,0.005,gage
gage_1_20160331,1249.2,0.005,gage
gage_1_20160430,1209.7,0.005,gage
gage_1_20160531,1080.2,0.005,gage
gage_1_20160630,899.53,0.005,gage
gage_1_20160731,723.71,0.005,gage
gage_1_20160831,567.52,0.005,gage
gage_1_20160930,485.67,0.005,gage
gage_1_20161031,493.67,0.005,gage
gage_1_20161130,596.89,0.005,gage
gage_1_20161231,764.37,0.005,gage
gage_1_20170131,953.45,0.0,gage
gage_1_20170228,1089.8,0.0,gage
gage_1_20170331,1151.8,0.0,gage
gage_1_20170430,1119.9,0.0,gage
gage_1_20170531,1005.1,0.0,gage
gage_1_20170630,837.38,0.0,gage
gage_1_20170731,678.03,0.0,gage
gage_1_20170831,578.55,0.0,gage
gage_1_20170930,561.44,0.0,gage
gage_1_20171031,643.47,0.0,gage
gage_1_20171130,803.83,0.0,gage
gage_1_20171231,1011.7,0.0,gage
headwater_20151231,-384.01,0.0,headwater
headwater_20160131,-491.85,0.0,headwater
headwater_20160229,-567.93,0.0,headwater
headwater_20160331,-601.53,0.0,headwater
headwater_20160430,-578.51,0.0,headwater
headwater_20160531,-507.98,0.0,headwater
headwater_20160630,-411.9,0.0,headwater
headwater_20160731,-321.81,0.0,headwater
headwater_20160831,-235.92,0.0,headwater
headwater_20160930,-189.1,0.0,headwater
headwater_20161031,-189.85,0.0,headwater
headwater_20161130,-243.71,0.0,headwater
headwater_20161231,-334.65,0.0,headwater
headwater_20170131,-438.62,0.0,headwater
headwater_20170228,-513.84,0.0,headwater
headwater_20170331,-549.19,0.0,headwater
headwater_20170430,-535.96,0.0,headwater
headwater_20170531,-477.84,0.0,headwater
headwater_20170630,-386.54,0.0,headwater
headwater_20170731,-302.64,0.0,headwater
headwater_20170831,-249.5,0.0,headwater
headwater_20170930,-238.69,0.0,headwater
headwater_20171031,-281.08,0.0,headwater
headwater_20171130,-367.59,0.0,headwater
headwater_20171231,-479.08,0.0,headwater
in_ghb_flx_20151231,0.0,0.0,in_ghb
in_ghb_flx_20160131,0.0,0.0,in_ghb
in_ghb_flx_20160229,0.0,0.0,in_ghb
in_ghb_flx_20160331,0.0,0.0,in_ghb
in_ghb_flx_20160430,0.0,0.0,in_ghb
in_ghb_flx_20160531,0.0,0.0,in_ghb
in_ghb_flx_20160630,0.0,0.0,in_ghb
in_ghb_flx_20160731,0.0,0.0,in_ghb
in_ghb_flx_20160831,0.0,0.0,in_ghb
in_ghb_flx_20160930,0.0,0.0,in_ghb
in_ghb_flx_20161031,0.0,0.0,in_ghb
in_ghb_flx_20161130,0.0,0.0,in_ghb
in_ghb_flx_20161231,0.0,0.0,in_ghb
in_ghb_flx_20170131,0.0,0.0,in_ghb
in_ghb_flx_20170228,0.0,0.0,in_ghb
in_ghb_flx_20170331,0.0,0.0,in_ghb
in_ghb_flx_20170430,0.0,0.0,in_ghb
in_ghb_flx_20170531,0.0,0.0,in_ghb
in_ghb_flx_20170630,0.0,0.0,in_ghb
in_ghb_flx_20170731,0.0,0.0,in_ghb
in_ghb_flx_20170831,0.0,0.0,in_ghb
in_ghb_flx_20170930,0.0,0.0,in_ghb
in_ghb_flx_20171031,0.0,0.0,in_ghb
in_ghb_flx_20171130,0.0,0.0,in_ghb
in_ghb_flx_20171231,0.0,0.0,in_ghb
in_rch_flx_20151231,2376.03,0.0,in_rch
in_rch_flx_20160131,3649.78,0.0,in_rch
in_rch_flx_20160229,3904.6,0.0,in_rch
in_rch_flx_20160331,3687.76,0.0,in_rch
in_rch_flx_20160430,3084.37,0.0,in_rch
in_rch_flx_20160531,2257.93,0.0,in_rch
in_rch_flx_20160630,1463.16,0.0,in_rch
in_rch_flx_20160731,944.666,0.0,in_rch
in_rch_flx_20160831,807.591,0.0,in_rch
in_rch_flx_20160930,1071.55,0.0,in_rch
in_rch_flx_20161031,1735.19,0.0,in_rch
in_rch_flx_20161130,2558.14,0.0,in_rch
in_rch_flx_20161231,3313.85,0.0,in_rch
in_rch_flx_20170131,3859.55,0.0,in_rch
in_rch_flx_20170228,3900.89,0.0,in_rch
in_rch_flx_20170331,3438.93,0.0,in_rch
in_rch_flx_20170430,2785.9,0.0,in_rch
in_rch_flx_20170531,1968.43,0.0,in_rch
in_rch_flx_20170630,1234.31,0.0,in_rch
in_rch_flx_20170731,876.227,0.0,in_rch
in_rch_flx_20170831,974.456,0.0,in_rch
in_rch_flx_20170930,1491.31,0.0,in_rch
in_rch_flx_20171031,2360.66,0.0,in_rch
in_rch_flx_20171130,3320.16,0.0,in_rch
in_rch_flx_20171231,4128.84,0.0,in_rch
in_sfr_flx_20151231,0.0,0.0,in_sfr
in_sfr_flx_20160131,0.0,0.0,in_sfr
in_sfr_flx_20160229,0.0,0.0,in_sfr
in_sfr_flx_20160331,0.0,0.0,in_sfr
in_sfr_flx_20160430,0.0,0.0,in_sfr
in_sfr_flx_20160531,0.0,0.0,in_sfr
in_sfr_flx_20160630,0.0,0.0,in_sfr
in_sfr_flx_20160731,0.0,0.0,in_sfr
in_sfr_flx_20160831,4.578,0.0,in_sfr
in_sfr_flx_20160930,8.7976,0.0,in_sfr
in_sfr_flx_20161031,7.4922,0.0,in_sfr
in_sfr_flx_20161130,0.599,0.0,in_sfr
in_sfr_flx_20161231,0.0,0.0,in_sfr
in_sfr_flx_20170131,0.0,0.0,in_sfr
in_sfr_flx_20170228,0.0,0.0,in_sfr
in_sfr_flx_20170331,0.0,0.0,in_sfr
in_sfr_flx_20170430,0.0,0.0,in_sfr
in_sfr_flx_20170531,0.0,0.0,in_sfr
in_sfr_flx_20170630,0.0,0.0,in_sfr
in_sfr_flx_20170731,0.0,0.0,in_sfr
in_sfr_flx_20170831,2.0311,0.0,in_sfr
in_sfr_flx_20170930,1.5183,0.0,in_sfr
in_sfr_flx_20171031,0.0,0.0,in_sfr
in_sfr_flx_20171130,0.0,0.0,in_sfr
in_sfr_flx_20171231,0.0,0.0,in_sfr
in_ss_flx_20151231,0.0,0.0,in_ss
in_ss_flx_20160131,0.0,0.0,in_ss
in_ss_flx_20160229,0.0,0.0,in_ss
in_ss_flx_20160331,0.008682500000000001,0.0,in_ss
in_ss_flx_20160430,1.5431,0.0,in_ss
in_ss_flx_20160531,6.48,0.0,in_ss
in_ss_flx_20160630,10.5794,0.0,in_ss
in_ss_flx_20160731,10.9083,0.0,in_ss
in_ss_flx_20160831,10.4922,0.0,in_ss
in_ss_flx_20160930,6.7049,0.0,in_ss
in_ss_flx_20161031,1.7443,0.0,in_ss
in_ss_flx_20161130,0.029685000000000003,0.0,in_ss
in_ss_flx_20161231,0.0,0.0,in_ss
in_ss_flx_20170131,0.0,0.0,in_ss
in_ss_flx_20170228,0.0,0.0,in_ss
in_ss_flx_20170331,0.097637,0.0,in_ss
in_ss_flx_20170430,1.2104,0.0,in_ss
